Emma,5178.876029154261,14
Ivy,19893.430614084224,7
Charlie,64602.153817826715,6
Grace,86803.95084796476,11
Jack,37019.257179926324,3
Frank,99666.56829981889,4
Jack,8204.406037506968,7
Bob,99891.32431570395,16
Alice,48446.326033342324,7
Alice,60566.72626406998,15
Grace,17362.524160914472,5
David,61442.773089919916,2
Frank,61799.16274363336,18
Grace,31905.643503440937,18
Charlie,74307.4141153409,8
Jack,6509.470833273209,12
Emma,24857.21179141744,7
Grace,89072.99830474683,17
Emma,47172.10499208775,2
Frank,91310.53380129876,10
Charlie,38912.04332738827,12
David,29291.697642880878,11
Hank,72171.43659251813,2
David,49393.2878378017,12
Emma,29111.61412152434,14
Hank,22903.062713986026,7
Hank,48967.71159783604,19
Bob,9905.720123431887,3
Hank,38088.0730922067,5
David,15158.01505459795,13
Jack,49580.98862773231,12
Grace,6969.25887822527,9
David,67678.65613013,12
Charlie,60962.66734071482,7
David,62444.29543805729,8
Grace,73165.24555990851,11
Hank,72295.82932709194,15
Hank,16938.29247435306,16
Hank,3636.657435348257,11
Alice,78180.39589660823,7
Hank,5482.054241643162,18
Emma,6052.3325282082005,4
Emma,52601.72672780874,11
Emma,81186.97287654667,16
Charlie,34600.45686853646,15
Jack,80093.701734138,1
Bob,87209.12587116049,9
Alice,96757.84687943668,16
Bob,38051.69763135096,1
Charlie,5713.574908431394,14
Bob,28150.38376797568,20
Frank,80566.61844482491,8
Jack,51908.079850122274,12
Hank,68071.07205060091,3
Bob,63709.968914305566,9
Grace,97825.11890500049,7
Jack,83698.90903911443,8
Grace,86169.96388256828,20
Ivy,71822.64249745972,18
Alice,63588.38610530226,5
Bob,1150.3259176539734,5
Alice,74674.30129783433,15
Ivy,37535.62801031093,1
Bob,76954.37408705433,15
Bob,5008.826641969402,14
Bob,36169.46613964913,1
Emma,79776.81329384887,12
Grace,76599.34313483474,4
Charlie,1474.1519562280264,3
Alice,1617.5843486248743,1
Emma,60479.088212742645,9
Alice,22795.48947408601,14
Alice,2762.3569278511354,17
Emma,61292.0771513891,2
David,69977.75730046009,8
Ivy,17246.150510339277,15
Hank,58200.40283402388,12
Emma,42482.66462814587,18
Hank,24720.272906677583,14
Charlie,93876.48271006261,4
Frank,58563.09633620296,20
Jack,90190.99727352691,11
Charlie,85004.6809434693,11
Bob,61451.00606097631,13
David,40929.49773857996,12
David,54078.825759004474,13
Emma,82465.53685574188,8
Charlie,33000.84644022718,11
Frank,52266.69726574296,13
Charlie,59083.640189732105,7
Grace,57293.76520176272,2
Hank,59038.23962154771,10
Bob,35115.06982024984,12
David,18076.652825057557,16
Bob,68734.03123431324,7
Emma,13544.690915924477,2
Alice,22037.197262130037,19
Charlie,42852.302776372126,6
Frank,79729.4934608999,18
Grace,55753.34567322356,6
